DCP,Núm. y Nombre del BI,Técnica,Nombre del guion de prueba,Pre Condiciones,Datos de Entrada,Pasos,Puntos de Verificación (PV),Fecha de Prueba,Puntaje,Prioridad,Justificación
CP-PED-111,Filtros Combinados,Tablas de Decisión,Filtrar por Estado=Pendiente y Rango de Fechas,"Usuario autenticado, Pedidos de varios clientes en diferentes fechas","Estado: Pendiente, Fecha Inicial: 01/10/2025, Fecha Final: 31/10/2025","1. Seleccionar Estado Pendiente, 2. Ingresar rango fechas, 3. Consultar","PV1: Solo muestra pendientes en ese rango, PV2: Ambos filtros aplicados, PV3: Paginación correcta",29/10/2025,80,ALTA,Criticidad 20 + Frecuencia 20 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 3. Filtro combinado común.
CP-PED-112,Filtros Combinados,Tablas de Decisión,Filtrar por Cliente específico y Estado=Confirmado,"Usuario autenticado, Cliente Rosa Villarreal con pedidos confirmados","Cliente: Rosa Beatriz Villarreal Campos (DNI: 47829156), Estado: Confirmado","1. Seleccionar cliente Rosa Villarreal, 2. Seleccionar estado Confirmado, 3. Consultar","PV1: Solo pedidos confirmados de Rosa Villarreal, PV2: Filtros AND aplicados correctamente, PV3: DNI visible en resultados",29/10/2025,80,ALTA,Criticidad 20 + Frecuencia 20 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 3. Combinación útil de filtros.
CP-PED-114,Limpiar Filtros,Partición de Equivalencia,Limpiar todos los filtros aplicados,"Usuario autenticado, Filtros aplicados","Varios filtros activos","1. Aplicar múltiples filtros, 2. Clic en botón Limpiar/Reset, 3. Observar resultados","PV1: Todos los filtros se limpian, PV2: Muestra todos los pedidos, PV3: Campos de filtro vacíos, PV4: Fecha vuelve a hoy",29/10/2025,70,MEDIA,Criticidad 15 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Funcionalidad de reset útil.
CP-PED-115,Ordenamiento,Partición de Equivalencia,Ordenar por Fecha ascendente,"Usuario autenticado, Múltiples pedidos","Clic en columna Fecha","1. Clic en cabecera 'Fecha', 2. Verificar orden","PV1: Ordena del más antiguo al más reciente, PV2: Indicador visual de orden ASC, PV3: Datos correctos",29/10/2025,70,MEDIA,Criticidad 15 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Ordenamiento básico.
CP-PED-116,Ordenamiento,Partición de Equivalencia,Ordenar por Fecha descendente,"Usuario autenticado","Clic 2 veces en columna Fecha","1. Clic en 'Fecha' hasta DESC, 2. Verificar orden","PV1: Ordena del más reciente al más antiguo, PV2: Indicador DESC visible, PV3: Consistencia",29/10/2025,70,MEDIA,Criticidad 15 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Ver pedidos recientes primero.
CP-PED-117,Ordenamiento,Partición de Equivalencia,Ordenar por Cliente alfabéticamente,"Usuario autenticado","Clic en columna Cliente","1. Ordenar por Cliente, 2. Verificar orden alfabético","PV1: Orden A-Z correcto, PV2: Case-insensitive, PV3: Ñ ordenada correctamente",29/10/2025,65,MEDIA,Criticidad 15 + Frecuencia 10 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Orden alfabético útil.
CP-PED-118,Ordenamiento,Partición de Equivalencia,Ordenar por Total mayor a menor,"Usuario autenticado","Clic en columna Total DESC","1. Ordenar por Total descendente, 2. Verificar orden","PV1: Mayor a menor correcto, PV2: Valores numéricos ordenados correctamente, PV3: No orden alfabético",29/10/2025,70,MEDIA,Criticidad 15 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Ver pedidos de mayor valor.
CP-PED-126,Exportación,Partición de Equivalencia,Exportar a Excel todos los campos,"Usuario autenticado, 20 pedidos filtrados","Selección de filtros aplicados","1. Aplicar filtros, 2. Clic Exportar Excel, 3. Abrir archivo","PV1: Archivo .xlsx descargado, PV2: Contiene 20 registros, PV3: Todas las columnas incluidas, PV4: Formato Excel válido",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 15 + Viabilidad 15 + ROI 12 + Estabilidad 10 + Detección 3. Exportación para reportes.
CP-PED-132,Validación Negocio,Partición de Equivalencia,Validar stock suficiente antes de confirmar,"Usuario autenticado, Producto con stock=5","Pedido con cantidad=10","1. Crear pedido de 10 unidades, 2. Intentar confirmar, 3. Verificar validación","PV1: Error: 'Stock insuficiente', PV2: Detalla producto y stock disponible, PV3: No permite confirmar, PV4: Pedido queda Pendiente",29/10/2025,90,CRÍTICA,Criticidad 30 + Frecuencia 20 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 5. Validación crucial de inventario.
CP-PED-133,Validación Negocio,Partición de Equivalencia,Validar cliente activo al crear pedido,"Usuario autenticado, Cliente María Quispe desactivado previamente","Cliente inactivo: María Elena Quispe Huamán (DNI: 63194827) - Desactivar antes de la prueba","1. Desactivar cliente María Quispe en módulo Clientes, 2. Intentar crear pedido con DNI 63194827, 3. Guardar","PV1: Error: 'Cliente inactivo' o no aparece en búsqueda, PV2: No permite crear pedido, PV3: Sugiere activar cliente o muestra mensaje",29/10/2025,80,ALTA,Criticidad 30 + Frecuencia 10 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Validación de estado de cliente.
CP-PED-134,Validación Negocio,Partición de Equivalencia,Validar producto activo al agregar a pedido,"Usuario autenticado","Producto inactivo ID 200","1. Buscar producto inactivo, 2. Intentar agregar","PV1: No aparece en búsqueda o mensaje de inactivo, PV2: No permite agregarlo, PV3: Solo productos activos disponibles",29/10/2025,80,ALTA,Criticidad 30 + Frecuencia 10 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Validación de estado de producto.
CP-PED-135,Validación Negocio,Valores Límite,Validar fecha de operación no futura,"Usuario autenticado","Fecha operación: 01/01/2026 (futura)","1. Ingresar fecha futura, 2. Intentar guardar","PV1: Error: 'Fecha no puede ser futura', PV2: Permite hoy o anterior, PV3: Validación correcta",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 4. Validación temporal lógica.
CP-PED-159,Duplicar Pedido,Partición de Equivalencia,Duplicar pedido existente para crear nuevo,"Usuario autenticado, Pedido existente de Ana Rodríguez","Pedido de Ana Patricia Rodríguez Torres (DNI: 81247593), Clic en Duplicar","1. Filtrar pedidos de Ana Rodríguez, 2. Seleccionar un pedido, 3. Clic en Duplicar, 4. Verificar modal de nuevo pedido","PV1: Abre modal con datos copiados, PV2: Cliente igual: Ana Rodríguez DNI 81247593, PV3: Productos iguales con cantidades, PV4: Precios iguales, PV5: Nueva fecha actual, PV6: Estado Pendiente",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 10 + Viabilidad 20 + ROI 8 + Estabilidad 10 + Detección 3. Ahorra tiempo en pedidos recurrentes.
CP-PED-175,Descuentos,Valores Límite,Aplicar descuento general del 5% al pedido,"Usuario autenticado","Descuento global: 5%","1. Crear pedido con 3 productos, 2. Aplicar descuento general 5%, 3. Verificar","PV1: Descuento aplicado a todos los productos, PV2: Subtotal recalculado, PV3: Total correcto, PV4: Visible en resumen",29/10/2025,85,CRÍTICA,Criticidad 30 + Frecuencia 15 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Descuento global común.
CP-PED-181,Monedas,Partición de Equivalencia,Crear pedido en moneda Soles (PEN),"Usuario autenticado","Moneda: PEN","1. Crear pedido, 2. Seleccionar moneda PEN, 3. Guardar","PV1: Precios en PEN, PV2: Símbolo S/, PV3: Cálculos correctos, PV4: Moneda guardada",29/10/2025,80,ALTA,Criticidad 30 + Frecuencia 20 + Viabilidad 20 + ROI 5 + Estabilidad 10 + Detección 3. Moneda local principal.
CP-PED-182,Monedas,Partición de Equivalencia,Crear pedido en moneda Dólares (USD),"Usuario autenticado","Moneda: USD, TC: 3.75","1. Seleccionar USD, 2. Verificar tipo de cambio, 3. Crear pedido","PV1: Precios en USD, PV2: Símbolo $, PV3: TC del día aplicado, PV4: Conversión correcta",29/10/2025,80,ALTA,Criticidad 30 + Frecuencia 20 + Viabilidad 20 + ROI 5 + Estabilidad 10 + Detección 3. Moneda extranjera importante.
